
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Pnt,Yds,Y/P,Blck
1,1978,1,1978-09-03,22-197,CLE,,SFO,W 24-7,0,0,,0,0,0,,0,0,0,,,,5,175,35.00,0
2,1978,2,1978-09-10,22-204,CLE,,CIN,W 13-10,0,0,,0,0,0,,0,0,0,,,,7,278,39.71,0
3,1978,3,1978-09-17,22-211,CLE,@,ATL,W 24-16,0,0,,0,0,0,,0,0,0,,,,8,306,38.25,0
4,1978,4,1978-09-24,22-218,CLE,@,PIT,L 9-15,0,0,,0,0,0,,0,0,0,,,,6,250,41.67,0
5,1978,5,1978-10-01,22-225,CLE,,HOU,L 13-16,0,0,,0,0,0,,0,0,0,,,,7,296,42.29,0
6,1978,6,1978-10-08,22-232,CLE,@,NOR,W 24-16,0,0,,0,0,0,,0,0,0,,,,3,154,51.33,0
7,1978,7,1978-10-15,22-239,CLE,,PIT,L 14-34,0,0,,0,0,0,,0,0,0,,,,4,125,31.25,0
8,1978,8,1978-10-22,22-246,CLE,@,KAN,L 3-17,0,0,,0,0,0,,0,0,0,,,,7,316,45.14,0
9,1978,9,1978-10-29,22-253,CLE,,BUF,W 41-20,0,0,,0,0,0,,0,0,0,,,,2,59,29.50,0
10,1978,10,1978-11-05,22-260,CLE,@,HOU,L 10-14,0,0,,0,0,0,,0,0,0,,,,10,407,40.70,0
11,1978,11,1978-11-12,22-267,CLE,,DEN,L 7-19,0,0,,0,0,0,,0,0,0,,,,7,228,32.57,0
12,1978,12,1978-11-19,22-274,CLE,@,BAL,W 45-24,1,12,12.00,0,0,0,,0,0,0,,,,2,54,27.00,0
13,1978,13,1978-11-26,22-281,CLE,,RAM,W 30-19,0,0,,0,0,0,,0,0,0,,,,5,168,33.60,0
14,1978,14,1978-12-03,22-288,CLE,@,SEA,L 24-47,1,0,0.00,0,1,1,100.00,19,0,0,118.7,19.00,19.00,1,58,58.00,0
15,1978,15,1978-12-10,22-295,CLE,,NYJ,W 37-34,0,0,,0,0,0,,0,0,0,,,,1,42,42.00,0
16,1978,16,1978-12-17,22-302,CLE,@,CIN,L 16-48,0,0,,0,0,0,,0,0,0,,,,4,173,43.25,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Pnt,Yds,Y/P,Blck
17,1979,1,1979-09-02,23-196,CLE,@,NYJ,W 25-22,0,0,,0,0,0,,0,0,0,,,,2,86,43.00,1
18,1979,2,1979-09-09,23-203,CLE,@,KAN,W 27-24,0,0,,0,0,0,,0,0,0,,,,5,249,49.80,0
19,1979,3,1979-09-16,23-210,CLE,,BAL,W 13-10,0,0,,0,0,0,,0,0,0,,,,5,215,43.00,1
20,1979,4,1979-09-24,23-218,CLE,,DAL,W 26-7,0,0,,0,0,0,,0,0,0,,,,8,291,36.38,0
21,1979,5,1979-09-30,23-224,CLE,@,HOU,L 10-31,0,0,,0,0,0,,0,0,0,,,,5,226,45.20,0
22,1979,6,1979-10-07,23-231,CLE,,PIT,L 35-51,0,0,,0,1,1,100.00,14,0,0,118.7,14.00,14.00,2,65,32.50,0
23,1979,7,1979-10-14,23-238,CLE,,WAS,L 9-13,0,0,,0,0,0,,0,0,0,,,,5,215,43.00,0
24,1979,8,1979-10-21,23-245,CLE,,CIN,W 28-27,0,0,,0,0,0,,0,0,0,,,,4,161,40.25,0
25,1979,9,1979-10-28,23-252,CLE,@,STL,W 38-20,0,0,,0,0,0,,0,0,0,,,,2,89,44.50,0
26,1979,10,1979-11-04,23-259,CLE,@,PHI,W 24-19,0,0,,0,0,0,,0,0,0,,,,4,159,39.75,0
27,1979,11,1979-11-11,23-266,CLE,,SEA,L 24-29,0,0,,0,0,0,,0,0,0,,,,4,162,40.50,0
28,1979,12,1979-11-18,23-273,CLE,,MIA,W 30-24,0,0,,0,0,0,,0,0,0,,,,5,171,34.20,0
29,1979,13,1979-11-25,23-280,CLE,@,PIT,L 30-33,0,0,,0,0,0,,0,0,0,,,,4,185,46.25,0
30,1979,14,1979-12-02,23-287,CLE,,HOU,W 14-7,0,0,,0,0,0,,0,0,0,,,,4,156,39.00,0
31,1979,15,1979-12-09,23-294,CLE,@,OAK,L 14-19,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,155,38.75,0
32,1979,16,1979-12-16,23-301,CLE,@,CIN,L 12-16,0,0,,0,0,0,,0,0,0,,,,6,259,43.17,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Pnt,Yds,Y/P,Blck
33,1980,1,1980-09-07,24-202,CLE,@,NWE,L 17-34,0,0,,0,0,0,,0,0,0,,,,6,231,38.50,0
