
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1992,1,1992-09-06,22-142,PHO,@,TAM,L 7-23,,4,9,44.44,29,0,1,13.0,3.22,-1.78
2,1992,12,1992-11-29,22-226,PHO,@,WAS,L 3-41,,0,2,0.00,0,0,1,0.0,0.00,-22.50
,,,2 Games,,,,,0-2-0,,4,11,36.36,29,0,2,5.3,2.64,-5.55
