
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
27,2005,6,2005-10-17,35-251,STL,@,IND,L 28-45,,17,21,80.95,134,1,2,69.5,6.38,3.05,0,0,,0
28,2005,7,2005-10-23,35-257,STL,,NOR,W 28-17,*,18,29,62.07,198,0,0,82.3,6.83,6.83,4,-2,-0.50,0
29,2005,8,2005-10-30,35-264,STL,,JAX,W 24-21,*,13,21,61.90,200,2,3,85.5,9.52,5.00,2,-2,-1.00,0
30,2005,10,2005-11-20,35-285,STL,,ARI,L 28-38,,14,19,73.68,161,1,0,116.3,8.47,9.53,0,0,,0
31,2005,11,2005-11-27,35-292,STL,@,HOU,W 33-27,*,2,3,66.67,14,0,0,77.1,4.67,4.67,0,0,,0
32,2005,14,2005-12-18,35-313,STL,,PHI,L 16-17,,8,11,72.73,58,0,0,84.7,5.27,5.27,0,0,,0
33,2005,15,2005-12-24,35-319,STL,,SFO,L 20-24,*,33,41,80.49,354,1,2,90.4,8.63,6.93,2,11,5.50,0
34,2005,16,2006-01-01,35-327,STL,@,DAL,W 20-10,*,19,32,59.38,158,0,0,72.1,4.94,4.94,1,-1,-1.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
35,2006,1,2006-09-10,36-214,NOR,@,CLE,W 19-14,,0,0,,0,0,0,,,,0,0,,0
36,2006,2,2006-09-17,36-221,NOR,@,GNB,W 34-27,,0,0,,0,0,0,,,,0,0,,0
37,2006,3,2006-09-25,36-229,NOR,,ATL,W 23-3,,0,0,,0,0,0,,,,0,0,,0
38,2006,4,2006-10-01,36-235,NOR,@,CAR,L 18-21,,0,0,,0,0,0,,,,0,0,,0
39,2006,5,2006-10-08,36-242,NOR,,TAM,W 24-21,,0,0,,0,0,0,,,,0,0,,0
40,2006,6,2006-10-15,36-249,NOR,,PHI,W 27-24,,0,0,,0,0,0,,,,0,0,,0
41,2006,7,2006-10-29,36-263,NOR,,BAL,L 22-35,,0,0,,0,0,0,,,,0,0,,0
42,2006,8,2006-11-05,36-270,NOR,@,TAM,W 31-14,,0,0,,0,0,0,,,,0,0,,0
43,2006,9,2006-11-12,36-277,NOR,@,PIT,L 31-38,,0,0,,0,0,0,,,,0,0,,0
44,2006,10,2006-11-19,36-284,NOR,,CIN,L 16-31,,0,0,,0,0,0,,,,0,0,,0
45,2006,11,2006-11-26,36-291,NOR,@,ATL,W 31-13,,0,0,,0,0,0,,,,0,0,,0
46,2006,12,2006-12-03,36-298,NOR,,SFO,W 34-10,,0,0,,0,0,0,,,,0,0,,0
47,2006,13,2006-12-10,36-305,NOR,@,DAL,W 42-17,,0,0,,0,0,0,,,,0,0,,0
48,2006,14,2006-12-17,36-312,NOR,,WAS,L 10-16,,0,0,,0,0,0,,,,0,0,,0
49,2006,15,2006-12-24,36-319,NOR,@,NYG,W 30-7,,0,0,,0,0,0,,,,0,0,,0
50,2006,16,2006-12-31,36-326,NOR,,CAR,L 21-31,,16,24,66.67,208,1,1,90.3,8.67,7.63,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
51,2007,1,2007-09-06,37-210,NOR,@,IND,L 10-41,,0,0,,0,0,0,,,,0,0,,0
52,2007,2,2007-09-16,37-220,NOR,@,TAM,L 14-31,,0,0,,0,0,0,,,,0,0,,0
53,2007,7,2007-10-28,37-262,NOR,@,SFO,W 31-10,,0,0,,0,0,0,,,,0,0,,0
54,2007,11,2007-11-25,37-290,NOR,@,CAR,W 31-6,,0,0,,0,0,0,,,,3,-3,-1.00,0
,,,54 Games,,,,,30-24-0,,355,541,65.62,3814,20,21,82.3,7.05,6.04,44,16,0.36,0
