
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1993,2,1993-09-12,24-189,KAN,@,HOU,L 0-30,,1,3,33.33,2,0,0,42.4,0.67,0.67
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
2,1994,8,1994-10-30,25-237,KAN,@,BUF,L 10-44,,1,5,20.00,13,0,1,0.0,2.60,-6.40
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
3,1997,10,1997-11-09,28-247,DET,@,WAS,L 7-30,,0,1,0.00,0,0,1,0.0,0.00,-45.00
,,,3 Games,,,,,0-3-0,,2,9,22.22,15,0,2,0.0,1.67,-8.33
