
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1978,6,1978-10-08,23-120,NYG,@,DAL,L 3-24,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,2,2.00,0,0,0
2,1978,14,1978-12-03,23-176,NYG,,RAM,L 17-20,,4,14,28.57,38,0,1,9.8,2.71,-0.50,6,63,10.50,0,0,0
3,1978,15,1978-12-10,23-183,NYG,,STL,W 17-0,*,8,14,57.14,24,1,1,56.2,1.71,-0.07,7,29,4.14,0,0,0
4,1978,16,1978-12-17,23-190,NYG,@,PHI,L 3-20,*,7,10,70.00,126,0,1,72.9,12.60,8.10,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1979,4,1979-09-23,24-105,NYG,,PHI,L 13-17,*,10,22,45.45,90,0,2,19.1,4.09,0.00,8,56,7.00,1,1,6
6,1979,7,1979-10-14,24-126,NYG,,SFO,W 32-16,,1,1,100.00,1,0,0,79.2,1.00,1.00,0,0,,0,0,0
7,1979,9,1979-10-28,24-140,NYG,@,RAM,W 20-14,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
8,1979,11,1979-11-11,24-154,NYG,,ATL,W 24-3,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
9,1979,16,1979-12-16,24-189,NYG,,BAL,L 7-31,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
,,,9 Games,,,,,4-5-0,,30,65,46.15,279,1,5,31.5,4.29,1.14,22,150,6.82,1,1,6
