
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1974,4,1974-10-06,23-141,SFO,,STL,L 9-34,*,4,8,50.00,56,0,1,33.3,7.00,1.38,0,0,,0
2,1974,5,1974-10-14,23-149,SFO,@,DET,L 13-17,*,17,40,42.50,171,1,3,32.4,4.28,1.40,1,0,0.00,0
3,1974,6,1974-10-20,23-155,SFO,@,RAM,L 14-37,,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0
,,,3 Games,,,,,0-3-0,,21,51,41.18,227,1,5,21.9,4.45,0.43,1,0,0.00,0
