
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1962,13,1962-12-09,24-300,SDG,,BOS,L 14-20,,3,4,75.00,44,0,0,110.4,11.00,11.00,0,0,,0
2,1962,14,1962-12-16,24-307,SDG,@,DTX,L 17-26,,2,5,40.00,20,0,1,12.5,4.00,-5.00,1,3,3.00,0
,,,2 Games,,,,,0-2-0,,5,9,55.56,64,0,1,38.4,7.11,2.11,1,3,3.00,0
