
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2001,12,2001-12-09,25-225,TEN,@,MIN,L 24-42,,0,3,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,2003,2,2003-09-14,27-139,TEN,@,IND,L 7-33,,6,9,66.67,61,0,1,46.3,6.78,1.78,1,-1,-1.00,0,0,0,0,,0,0,0
3,2003,6,2003-10-12,27-167,TEN,,HOU,W 38-17,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,,0,0,0
4,2003,7,2003-10-19,27-174,TEN,@,CAR,W 37-17,,1,2,50.00,50,1,0,135.4,25.00,35.00,0,0,,0,0,0,0,,0,0,0
5,2003,9,2003-11-09,27-195,TEN,,MIA,W 31-7,,2,2,100.00,22,0,0,112.5,11.00,11.00,2,0,0.00,0,0,0,0,,0,0,0
6,2003,11,2003-11-23,27-209,TEN,@,ATL,W 38-31,,9,15,60.00,117,1,0,106.8,7.80,9.13,4,2,0.50,0,0,0,0,,0,0,0
7,2003,12,2003-12-01,27-217,TEN,@,NYJ,L 17-24,,,,,,,,,,,,,,,,,,,,,
8,2003,14,2003-12-14,27-230,TEN,,BUF,W 28-26,*,26,41,63.41,295,2,0,101.2,7.20,8.17,3,4,1.33,1,0,0,0,,0,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
9,2004,3,2004-09-26,28-151,TEN,,JAX,L 12-15,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,,0,0,0
10,2004,4,2004-10-03,28-158,TEN,@,SDG,L 17-38,*,39,58,67.24,279,2,0,89.7,4.81,5.50,3,17,5.67,0,1,1,0,0.00,0,0,0
11,2004,7,2004-10-24,28-179,TEN,@,MIN,L 3-20,,17,36,47.22,190,0,3,28.7,5.28,1.53,0,0,,0,0,0,0,,0,0,0
12,2004,8,2004-10-31,28-186,TEN,,CIN,W 27-20,*,21,32,65.63,210,2,1,91.9,6.56,6.41,3,4,1.33,0,0,0,0,,0,0,0
13,2004,9,2004-11-14,28-200,TEN,,CHI,L 17-19,*,27,44,61.36,334,2,1,90.5,7.59,7.48,1,5,5.00,0,0,0,0,,0,0,0
14,2004,12,2004-12-05,28-221,TEN,@,IND,L 24-51,*,21,35,60.00,269,3,2,88.9,7.69,6.83,1,-1,-1.00,0,0,0,0,,0,0,0
15,2004,13,2004-12-13,28-229,TEN,,KAN,L 38-49,*,29,43,67.44,426,4,0,130.6,9.91,11.77,2,24,12.00,0,0,0,0,,0,0,0
16,2004,14,2004-12-19,28-235,TEN,@,OAK,L 35-40,*,40,60,66.67,492,4,1,107.1,8.20,8.78,1,1,1.00,1,0,0,0,,0,1,6
17,2004,15,2004-12-25,28-241,TEN,,DEN,L 16-37,*,8,20,40.00,111,0,2,19.0,5.55,1.05,0,0,,0,0,0,0,,0,0,0
18,2004,16,2005-01-02,28-249,TEN,,DET,W 24-19,*,16,28,57.14,175,1,0,87.6,6.25,6.96,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
19,2005,1,2005-09-11,29-136,TEN,@,PIT,L 7-34,,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0,0,0,0,,0,0,0
20,2005,5,2005-10-09,29-164,TEN,@,HOU,W 34-20,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,0,0
21,2005,7,2005-10-23,29-178,TEN,@,ARI,L 10-20,*,18,32,56.25,198,1,1,72.1,6.19,5.41,1,3,3.00,0,0,0,0,,0,0,0
22,2005,12,2005-12-04,29-220,TEN,@,IND,L 3-35,,4,6,66.67,30,0,0,78.5,5.00,5.00,0,0,,0,0,0,0,,0,0,0
23,2005,15,2005-12-24,29-240,TEN,@,MIA,L 10-24,,14,24,58.33,132,1,0,87.5,5.50,6.33,0,0,,0,0,0,0,,0,0,0
24,2005,16,2006-01-01,29-248,TEN,@,JAX,L 13-40,,14,25,56.00,114,2,0,94.4,4.56,6.16,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
25,2006,16,2006-12-31,30-247,SDG,,ARI,W 27-20,,1,2,50.00,4,0,0,56.2,2.00,2.00,3,-3,-1.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
26,2007,5,2007-10-07,31-162,SDG,@,DEN,W 41-3,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0,,0,0,0
27,2007,13,2007-12-09,31-225,SDG,@,TEN,W 23-17,,0,2,0.00,0,0,1,0.0,0.00,-22.50,1,-1,-1.00,0,0,0,0,,0,0,0
28,2007,14,2007-12-16,31-232,SDG,,DET,W 51-14,,0,1,0.00,0,0,0,39.6,0.00,0.00,3,-2,-0.67,0,0,0,0,,0,0,0
29,2007,15,2007-12-24,31-240,SDG,,DEN,W 23-3,,1,3,33.33,1,0,0,42.4,0.33,0.33,4,-2,-0.50,0,0,0,0,,0,0,0
30,2007,16,2007-12-30,31-246,SDG,@,OAK,W 30-17,,2,4,50.00,5,0,0,56.2,1.25,1.25,1,0,0.00,0,0,0,0,,0,0,0
