
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1982,2,1982-09-19,23-029,CHI,,NOR,L 0-10,,12,22,54.55,131,0,1,53.4,5.95,3.91,1,4,4.00,0,,0,0,,0,0,0,0,0,,0
2,1982,3,1982-11-21,23-092,CHI,,DET,W 20-17,*,16,27,59.26,233,2,3,72.5,8.63,5.11,3,14,4.67,0,,0,0,,0,0,0,0,0,,0
3,1982,4,1982-11-28,23-099,CHI,@,MIN,L 7-35,*,12,20,60.00,139,1,1,76.9,6.95,5.70,3,17,5.67,0,,0,0,,0,0,0,0,0,,0
4,1982,5,1982-12-05,23-106,CHI,,NWE,W 26-13,*,15,21,71.43,192,2,1,111.6,9.14,8.90,2,7,3.50,1,,0,0,,0,1,6,0,0,,0
5,1982,6,1982-12-12,23-113,CHI,@,SEA,L 14-20,*,19,29,65.52,199,0,1,70.9,6.86,5.31,3,16,5.33,0,,0,0,,0,0,0,0,0,,0
6,1982,7,1982-12-19,23-120,CHI,,STL,L 7-10,*,16,33,48.48,160,1,0,72.8,4.85,5.45,5,24,4.80,0,,0,0,,0,0,0,0,0,,0
7,1982,8,1982-12-26,23-127,CHI,@,RAM,W 34-26,*,18,28,64.29,280,2,0,121.1,10.00,11.43,7,23,3.29,0,,0,0,,0,0,0,0,0,,0
8,1982,9,1983-01-02,23-134,CHI,@,TAM,L 23-26,*,12,30,40.00,167,1,0,69.7,5.57,6.23,0,0,,0,,0,0,,0,0,0,1,59,59.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
9,1983,1,1983-09-04,24-014,CHI,,ATL,L 17-20,*,20,29,68.97,254,1,1,93.2,8.76,7.90,2,3,1.50,0,,0,0,,0,0,0,0,0,,0
10,1983,2,1983-09-11,24-021,CHI,,TAM,W 17-10,*,16,24,66.67,286,1,2,86.5,11.92,9.00,2,15,7.50,0,,0,0,,0,0,0,1,36,36.00,0
11,1983,3,1983-09-18,24-028,CHI,@,NOR,L 31-34,*,11,17,64.71,172,1,1,93.3,10.12,8.65,1,9,9.00,0,,0,0,,0,0,0,0,0,,0
