
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-25,24-018,BAL,,WAS,W 20-0,,0,0,,0,0,0,,,,0,0,,0,3,86,28.67,0
2,1960,2,1960-10-02,24-025,BAL,,CHI,W 42-7,,0,0,,0,0,0,,,,0,0,,0,5,193,38.60,0
3,1960,3,1960-10-09,24-032,BAL,@,GNB,L 21-35,,1,2,50.00,21,0,0,87.5,10.50,10.50,0,0,,0,1,39,39.00,0
4,1960,4,1960-10-16,24-039,BAL,,RAM,W 31-17,,0,0,,0,0,0,,,,0,0,,0,3,143,47.67,0
5,1960,5,1960-10-23,24-046,BAL,@,DET,L 17-30,,0,0,,0,0,0,,,,0,0,,0,4,160,40.00,0
6,1960,6,1960-10-30,24-053,BAL,@,DAL,W 45-7,,4,9,44.44,31,1,0,90.5,3.44,5.67,2,25,12.50,0,5,163,32.60,0
7,1960,7,1960-11-06,24-060,BAL,,GNB,W 38-24,,0,0,,0,0,0,,,,0,0,,0,3,132,44.00,0
8,1960,8,1960-11-13,24-067,BAL,@,CHI,W 24-20,,0,0,,0,0,0,,,,0,0,,0,4,160,40.00,0
9,1960,9,1960-11-27,24-081,BAL,,SFO,L 22-30,,1,2,50.00,13,0,0,70.8,6.50,6.50,0,0,,0,2,77,38.50,0
10,1960,10,1960-12-04,24-088,BAL,,DET,L 15-20,,0,0,,0,0,0,,,,0,0,,0,4,135,33.75,0
11,1960,11,1960-12-11,24-095,BAL,@,RAM,L 3-10,,0,0,,0,0,0,,,,0,0,,0,8,333,41.63,0
12,1960,12,1960-12-18,24-102,BAL,@,SFO,L 10-34,,0,0,,0,0,0,,,,0,0,,0,10,379,37.90,0
,,,12 Games,,,,,6-6-0,,6,13,46.15,65,1,0,87.0,5.00,6.54,2,25,12.50,0,52,2000,38.46,0
