
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-25,27-359,WAS,@,BAL,L 0-20,*,9,19,47.37,115,0,1,44.8,6.05,3.68,3,1,0.33,0,5,217,43.40,0
2,1960,2,1960-10-09,28-007,WAS,,DAL,W 26-14,,0,0,,0,0,0,,,,0,0,,0,4,164,41.00,0
3,1960,3,1960-10-16,28-014,WAS,@,NYG,T 24-24,,0,0,,0,0,0,,,,0,0,,0,5,188,37.60,0
4,1960,4,1960-10-23,28-021,WAS,,PIT,T 27-27,,0,0,,0,0,0,,,,0,0,,0,5,208,41.60,0
5,1960,5,1960-10-30,28-028,WAS,,CLE,L 10-31,,0,0,,0,0,0,,,,0,0,,0,4,156,39.00,0
6,1960,6,1960-11-06,28-035,WAS,@,STL,L 7-44,,0,0,,0,0,0,,,,0,0,,0,5,190,38.00,0
7,1960,7,1960-11-13,28-042,WAS,@,PHI,L 13-19,,0,0,,0,0,0,,,,0,0,,0,4,153,38.25,0
8,1960,8,1960-11-20,28-049,WAS,,STL,L 14-26,,0,0,,0,0,0,,,,0,0,,0,6,300,50.00,0
9,1960,9,1960-11-27,28-056,WAS,@,PIT,L 10-22,,0,0,,0,0,0,,,,0,0,,0,6,275,45.83,0
10,1960,10,1960-12-04,28-063,WAS,@,CLE,L 16-27,,0,0,,0,0,0,,,,0,0,,0,6,265,44.17,0
11,1960,11,1960-12-11,28-070,WAS,,NYG,L 3-17,,0,0,,0,0,0,,,,0,0,,0,6,244,40.67,0
12,1960,12,1960-12-18,28-077,WAS,,PHI,L 28-38,,0,0,,0,0,0,,,,0,0,,0,3,114,38.00,0
,,,12 Games,,,,,1-9-2,,9,19,47.37,115,0,1,44.8,6.05,3.68,3,1,0.33,0,59,2474,41.93,0
