
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1987,3,1987-10-04,25-161,NOR,,RAM,W 37-10,0,0,,0,0,0,,0,0,0,,,
2,1987,4,1987-10-11,25-168,NOR,@,STL,L 19-24,2,14,7.00,0,1,2,50.00,5,1,0,95.8,2.50,12.50
,,,2 Games,,,,,1-1-0,2,14,7.00,0,1,2,50.00,5,1,0,95.8,2.50,12.50
