
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1977,1,1977-09-18,23-068,TAM,@,PHI,L 3-13,,1,1,100.00,4,0,0,83.3,4.00,4.00,0,0,,0
2,1977,7,1977-10-30,23-110,TAM,@,SFO,L 10-20,*,11,29,37.93,145,0,1,40.2,5.00,3.45,1,1,1.00,0
3,1977,8,1977-11-06,23-117,TAM,@,RAM,L 0-31,*,8,21,38.10,83,0,2,10.7,3.95,-0.33,1,8,8.00,0
4,1977,9,1977-11-13,23-124,TAM,,NYG,L 0-10,*,13,26,50.00,234,0,3,41.7,9.00,3.81,3,17,5.67,0
5,1977,10,1977-11-20,23-131,TAM,@,DET,L 7-16,*,4,12,33.33,56,0,1,14.6,4.67,0.92,0,0,,0
,,,5 Games,,,,,0-5-0,,37,89,41.57,522,0,7,28.4,5.87,2.33,5,26,5.20,0
