
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
32,1962,4,1962-09-30,34-296,DEN,@,NYT,W 32-10,*,20,29,68.97,242,1,3,66.2,8.34,4.38,1,1,1.00,1,1,6
33,1962,6,1962-10-14,34-310,DEN,@,OAK,W 23-6,*,16,29,55.17,257,1,2,67.7,8.86,6.45,0,0,,0,0,0
34,1962,7,1962-10-21,34-317,DEN,,HOU,W 20-10,*,26,40,65.00,308,1,1,86.2,7.70,7.08,0,0,,0,0,0
35,1962,8,1962-10-28,34-324,DEN,,BUF,L 38-45,*,12,20,60.00,168,5,2,87.1,8.40,8.90,0,0,,0,0,0
36,1962,9,1962-11-04,34-331,DEN,@,SDG,W 23-20,*,17,32,53.13,202,1,1,70.1,6.31,5.53,0,0,,0,0,0
37,1962,10,1962-11-11,34-338,DEN,,BOS,L 29-33,*,10,26,38.46,89,1,1,45.2,3.42,2.46,0,0,,0,0,0
38,1962,11,1962-11-18,34-345,DEN,,DTX,L 3-24,*,9,18,50.00,65,0,0,58.8,3.61,3.61,0,0,,0,0,0
39,1962,12,1962-11-22,34-349,DEN,,NYT,L 45-46,*,9,15,60.00,113,1,2,66.1,7.53,2.87,0,0,,0,0,0
40,1962,13,1962-12-02,34-359,DEN,@,HOU,L 17-34,*,20,45,44.44,188,1,5,24.4,4.18,-0.38,1,-2,-2.00,0,0,0
41,1962,14,1962-12-09,35-001,DEN,@,DTX,L 10-17,*,22,36,61.11,187,0,1,63.1,5.19,3.94,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
42,1963,1,1963-09-07,35-273,DEN,,KAN,L 7-59,*,1,4,25.00,3,0,2,0.0,0.75,-21.75,0,0,,0,0,0
43,1963,2,1963-09-14,35-280,DEN,@,HOU,L 14-20,*,6,11,54.55,28,0,3,20.5,2.55,-9.73,0,0,,0,0,0
,,,43 Games,,,,,13-29-1,,662,1277,51.84,7676,51,85,55.9,6.01,3.81,16,-9,-0.56,1,1,6
