
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1980,2,1980-09-14,24-018,DEN,,DAL,W 41-20,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00
2,1980,16,1980-12-21,24-116,DEN,@,SEA,W 25-17,6,0,0.00,0,1,3,33.33,15,0,0,50.7,5.00,5.00
,,,2 Games,,,,,2-0-0,6,0,0.00,0,1,4,25.00,15,0,0,42.7,3.75,3.75
