
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1960,4,1960-10-02,28-091,LAC,@,BUF,W 24-10,*,9,15,60.00,70,1,1,66.0,4.67,3.00,1,3,3.00,0
2,1960,5,1960-10-08,28-097,LAC,,BOS,L 0-35,*,6,8,75.00,42,0,0,86.5,5.25,5.25,2,8,4.00,0
,,,2 Games,,,,,1-1-0,,15,23,65.22,112,1,1,73.1,4.87,3.78,3,11,3.67,0
