
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,27-277,SDG,@,CIN,W 10-9,,7,9,77.78,110,0,0,117.6,12.22,12.22,2,-1,-0.50,0
2,1987,4,1987-10-11,27-284,SDG,@,TAM,W 17-13,*,5,11,45.45,53,0,0,60.0,4.82,4.82,1,10,10.00,0
3,1987,5,1987-10-18,27-291,SDG,@,RAI,W 23-17,,5,9,55.56,142,1,0,137.5,15.78,18.00,1,8,8.00,0
,,,3 Games,,,,,3-0-0,,17,29,58.62,305,1,0,106.2,10.52,11.21,4,17,4.25,0
