
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1987,3,1987-10-04,25-216,MIA,@,SEA,L 20-24,*,17,26,65.38,179,1,0,98.1,6.88,7.65,5,13,2.60,0,0,0
2,1987,4,1987-10-11,25-223,MIA,,KAN,W 42-0,*,14,28,50.00,127,0,0,62.6,4.54,4.54,4,38,9.50,0,0,0
3,1987,5,1987-10-18,25-230,MIA,@,NYJ,L 31-37,*,26,55,47.27,298,2,5,38.3,5.42,2.05,8,47,5.88,2,2,12
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
4,1989,1,1989-09-10,27-192,NYJ,,NWE,L 24-27,,0,0,,0,0,0,,,,0,0,,0,,
5,1989,4,1989-10-01,27-213,NYJ,,IND,L 10-17,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
6,1989,6,1989-10-15,27-227,NYJ,@,NOR,L 14-29,*,7,14,50.00,74,0,1,36.0,5.29,2.07,2,3,1.50,0,0,0
7,1989,16,1989-12-23,27-296,NYJ,,BUF,L 0-37,,4,10,40.00,51,0,0,56.7,5.10,5.10,0,0,,0,0,0
,,,7 Games,,,,,1-6-0,,68,134,50.75,729,3,6,55.8,5.44,3.87,19,101,5.32,2,2,12
