
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2000,1,2000-09-03,24-111,NWE,,TAM,L 16-21,,,,,,,,,,,,,,
2,2000,2,2000-09-11,24-119,NWE,@,NYJ,L 19-20,,0,0,,0,0,0,,,,1,2,2.00,0
3,2000,5,2000-10-01,24-139,NWE,@,DEN,W 28-19,,0,0,,0,0,0,,,,2,0,0.00,0
4,2000,6,2000-10-08,24-146,NWE,,IND,W 24-16,,1,1,100.00,44,1,0,158.3,44.00,64.00,1,-6,-6.00,0
5,2000,7,2000-10-15,24-153,NWE,,NYJ,L 17-34,,2,6,33.33,36,0,1,15.3,6.00,-1.50,0,0,,0
6,2000,8,2000-10-22,24-160,NWE,@,IND,L 23-30,,0,0,,0,0,0,,,,3,3,1.00,0
7,2000,9,2000-11-05,24-174,NWE,,BUF,L 13-16,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
8,2000,16,2000-12-24,24-223,NWE,,MIA,L 24-27,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
,,,8 Games,,,,,2-6-0,,3,9,33.33,80,1,1,64.4,8.89,6.11,7,-1,-0.14,0
