
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
31,1975,12,1975-12-07,24-091,BAL,@,NYG,W 21-0,*,10,17,58.82,90,0,0,73.2,5.29,5.29,0,0,,0,0,0
32,1975,13,1975-12-14,24-098,BAL,,MIA,W 10-7,*,23,39,58.97,232,0,0,76.0,5.95,5.95,7,20,2.86,0,0,0
33,1975,14,1975-12-21,24-105,BAL,,NWE,W 34-21,*,18,31,58.06,181,1,1,72.1,5.84,5.03,2,19,9.50,1,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
34,1976,1,1976-09-12,25-005,BAL,@,NWE,W 27-13,*,17,23,73.91,190,2,0,127.1,8.26,10.00,1,3,3.00,0,0,0
35,1976,2,1976-09-19,25-012,BAL,,CIN,W 28-27,*,14,29,48.28,301,3,3,80.5,10.38,7.79,4,7,1.75,0,0,0
36,1976,3,1976-09-26,25-019,BAL,@,DAL,L 27-30,*,13,31,41.94,237,0,0,68.9,7.65,7.65,5,41,8.20,1,1,6
37,1976,4,1976-10-03,25-026,BAL,,TAM,W 42-17,*,15,24,62.50,186,2,0,114.2,7.75,9.42,1,4,4.00,0,0,0
38,1976,5,1976-10-10,25-033,BAL,,MIA,W 28-14,*,11,14,78.57,177,1,0,142.6,12.64,14.07,4,31,7.75,1,1,6
39,1976,6,1976-10-17,25-040,BAL,@,BUF,W 31-13,*,13,22,59.09,207,2,0,120.8,9.41,11.23,2,19,9.50,0,0,0
40,1976,7,1976-10-24,25-047,BAL,@,NYJ,W 20-0,*,16,27,59.26,297,2,1,106.6,11.00,10.81,2,11,5.50,0,0,0
41,1976,8,1976-11-01,25-055,BAL,,HOU,W 38-14,*,19,28,67.86,197,0,0,87.9,7.04,7.04,3,6,2.00,0,0,0
42,1976,9,1976-11-07,25-061,BAL,@,SDG,W 37-21,*,18,25,72.00,275,3,1,130.8,11.00,11.60,1,15,15.00,0,0,0
43,1976,10,1976-11-14,25-068,BAL,,NWE,L 14-21,*,10,25,40.00,139,1,2,38.6,5.56,2.76,3,30,10.00,0,0,0
44,1976,11,1976-11-22,25-076,BAL,@,MIA,W 17-16,*,13,20,65.00,234,1,0,121.7,11.70,12.70,7,20,2.86,0,0,0
45,1976,12,1976-11-28,25-082,BAL,,NYJ,W 33-16,*,22,32,68.75,175,3,0,113.4,5.47,7.34,2,19,9.50,0,0,0
46,1976,13,1976-12-04,25-088,BAL,@,STL,L 17-24,*,13,23,56.52,241,1,1,89.2,10.48,9.39,1,4,4.00,0,0,0
47,1976,14,1976-12-12,25-096,BAL,,BUF,W 58-20,*,13,20,65.00,248,3,1,126.7,12.40,13.15,2,4,2.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
48,1977,1,1977-09-18,26-011,BAL,@,SEA,W 29-14,*,17,26,65.38,220,1,0,104.6,8.46,9.23,0,0,,0,0,0
