
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Pnt,Yds,Y/P,Blck
1,1968,9,1968-11-10,23-186,NOR,@,CLE,L 17-35,,5,15,33.33,50,1,1,38.2,3.33,1.67,0,0,,0,7,222,31.71,0
2,1968,10,1968-11-17,23-193,NOR,@,GNB,L 7-29,,7,21,33.33,69,0,2,4.0,3.29,-1.00,2,3,1.50,0,7,164,23.43,0
3,1968,13,1968-12-08,23-214,NOR,@,PHI,L 17-29,,1,1,100.00,6,0,0,91.7,6.00,6.00,0,0,,0,0,0,,0
4,1968,14,1968-12-15,23-221,NOR,,PIT,W 24-14,,1,1,100.00,4,0,0,83.3,4.00,4.00,2,2,1.00,0,0,0,,0
,,,4 Games,,,,,1-3-0,,14,38,36.84,129,1,3,22.8,3.39,0.37,4,5,1.25,0,14,386,27.57,0
