
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2003,1,2003-09-07,23-227,ATL,@,DAL,W 27-13,,,,,,,,,,,,,,
2,2003,3,2003-09-21,23-241,ATL,,TAM,L 10-31,,5,12,41.67,32,0,1,14.6,2.67,-1.08,0,0,,0
3,2003,6,2003-10-13,23-263,ATL,@,STL,L 0-36,,2,5,40.00,21,0,1,13.3,4.20,-4.80,0,0,,0
4,2003,7,2003-10-19,23-269,ATL,,NOR,L 17-45,*,9,29,31.03,115,1,1,41.6,3.97,3.10,1,2,2.00,0
5,2003,8,2003-11-02,23-283,ATL,,PHI,L 16-23,*,11,18,61.11,78,0,1,47.9,4.33,1.83,1,7,7.00,0
6,2003,9,2003-11-09,23-290,ATL,@,NYG,W 27-7,*,9,23,39.13,65,1,0,61.7,2.83,3.70,5,5,1.00,0
7,2003,10,2003-11-16,23-297,ATL,@,NOR,L 20-23,*,8,27,29.63,80,0,2,8.7,2.96,-0.37,1,-1,-1.00,0
,,,7 Games,,,,,2-5-0,,44,114,38.60,391,2,6,32.5,3.43,1.41,8,13,1.63,0
