
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1966,9,1966-11-13,27-351,NYG,@,RAM,L 14-55,,8,18,44.44,126,1,2,47.2,7.00,3.11,1,10,10.00,0
2,1966,10,1966-11-20,27-358,NYG,,ATL,L 16-27,,18,30,60.00,188,1,1,75.4,6.27,5.43,1,4,4.00,0
3,1966,11,1966-11-27,28-000,NYG,@,WAS,L 41-72,*,13,21,61.90,165,1,3,62.7,7.86,2.38,1,8,8.00,0
4,1966,12,1966-12-04,28-007,NYG,@,CLE,L 40-49,,1,2,50.00,13,0,0,70.8,6.50,6.50,1,-12,-12.00,0
5,1966,13,1966-12-11,28-014,NYG,,PIT,L 28-47,,14,24,58.33,229,4,0,130.0,9.54,12.88,1,6,6.00,0
6,1966,14,1966-12-18,28-021,NYG,,DAL,L 7-17,,1,5,20.00,27,0,0,49.6,5.40,5.40,0,0,,0
,,,6 Games,,,,,0-6-0,,55,100,55.00,748,7,6,77.4,7.48,6.18,5,16,3.20,0
