
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2005,11,2005-11-27,25-001,PHI,,GNB,W 19-14
2,2005,16,2006-01-01,25-036,PHI,,WAS,L 20-31
,,,2 Games,,,,,1-1-0
