
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1966,10,1966-11-20,22-085,PIT,,DAL,L 7-20,,3,6,50.00,35,0,0,68.1,5.83,5.83,0,0,,0
2,1966,11,1966-11-27,22-092,PIT,@,STL,L 3-6,,1,5,20.00,-6,0,1,0.0,-1.20,-10.20,1,-2,-2.00,0
3,1966,13,1966-12-11,22-106,PIT,@,NYG,W 47-28,,1,3,33.33,5,0,0,42.4,1.67,1.67,0,0,,0
4,1966,14,1966-12-18,22-113,PIT,@,ATL,W 57-33,,2,5,40.00,25,0,0,56.2,5.00,5.00,0,0,,0
,,,4 Games,,,,,2-2-0,,7,19,36.84,59,0,1,23.8,3.11,0.74,1,-2,-2.00,0
