
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1974,5,1974-10-13,22-311,NYG,@,PHI,L 7-35,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
2,1974,6,1974-10-20,22-318,NYG,@,WAS,L 3-24,,6,12,50.00,59,0,3,24.7,4.92,-6.33,2,8,4.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
3,1975,2,1975-09-28,23-296,NYG,@,WAS,L 13-49,,3,4,75.00,28,0,0,93.7,7.00,7.00,0,0,,0
4,1975,10,1975-11-23,23-352,NYG,@,GNB,L 14-40,,2,5,40.00,47,0,1,35.0,9.40,0.40,1,4,4.00,0
5,1975,12,1975-12-07,24-001,NYG,,BAL,L 0-21,,2,7,28.57,23,0,1,1.2,3.29,-3.14,2,0,0.00,0
,,,5 Games,,,,,0-5-0,,13,29,44.83,157,0,5,22.4,5.41,-2.34,5,12,2.40,0
