
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-11,30-127,OAK,,HOU,L 22-37,,1,2,50.00,-2,0,0,56.2,-1.00,-1.00,1,9,9.00,0,,0,0,,0,0,0,0,0,,0
2,1960,2,1960-09-16,30-132,OAK,,DTX,L 16-34,,16,28,57.14,174,2,2,69.6,6.21,4.43,4,21,5.25,0,,0,0,,0,0,0,0,0,,0
3,1960,3,1960-09-25,30-141,OAK,@,HOU,W 14-13,*,7,13,53.85,118,0,0,84.8,9.08,9.08,3,19,6.33,0,,0,0,,0,0,0,0,0,,0
4,1960,4,1960-10-02,30-148,OAK,@,DEN,L 14-31,*,9,22,40.91,84,0,1,33.1,3.82,1.77,0,0,,0,,0,0,,0,0,0,0,0,,0
5,1960,5,1960-10-09,30-155,OAK,@,DTX,W 20-19,,6,10,60.00,62,0,0,77.9,6.20,6.20,1,2,2.00,0,,0,0,,0,0,0,0,0,,0
6,1960,6,1960-10-16,30-162,OAK,,BOS,W 27-14,,1,3,33.33,6,0,2,2.8,2.00,-28.00,0,0,,0,,0,0,,0,0,0,0,0,,0
7,1960,7,1960-10-23,30-169,OAK,@,BUF,L 9-38,,8,24,33.33,92,0,1,28.5,3.83,1.96,2,16,8.00,0,,1,0,0.00,0,0,0,0,0,,0
8,1960,8,1960-10-28,30-174,OAK,@,NYT,W 28-27,,3,6,50.00,36,0,1,29.2,6.00,-1.50,2,18,9.00,0,,0,0,,0,0,0,0,0,,0
9,1960,9,1960-11-04,30-181,OAK,@,BOS,L 28-34,,11,20,55.00,121,0,1,52.3,6.05,3.80,4,35,8.75,0,,0,0,,0,0,0,0,0,,0
10,1960,10,1960-11-13,30-190,OAK,,BUF,W 20-7,,7,14,50.00,77,0,0,66.7,5.50,5.50,1,1,1.00,0,,0,0,,0,0,0,0,0,,0
11,1960,11,1960-11-27,30-204,OAK,@,LAC,L 28-52,,6,17,35.29,45,1,1,39.1,2.65,1.18,0,0,,0,,0,0,,0,0,0,0,0,,0
12,1960,12,1960-12-04,30-211,OAK,,LAC,L 17-41,,2,7,28.57,23,0,0,40.8,3.29,3.29,0,0,,0,,0,0,,0,0,0,0,0,,0
13,1960,13,1960-12-11,30-218,OAK,,NYT,L 28-31,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,7,7.00,0,,0,0,,0,0,0,0,0,,0
14,1960,14,1960-12-17,30-224,OAK,,DEN,W 48-10,,10,20,50.00,167,2,2,72.3,8.35,5.85,2,3,1.50,1,,0,0,,0,1,6,0,0,,0
