
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1987,3,1987-10-04,23-150,DEN,,HOU,L 10-40,,0,1,0.00,0,0,0,39.6,0.00,0.00
2,1987,4,1987-10-12,23-158,DEN,,RAI,W 30-14,,2,2,100.00,23,0,0,114.6,11.50,11.50
,,,2 Games,,,,,1-1-0,,2,3,66.67,23,0,0,89.6,7.67,7.67
