
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2012,12,2012-12-02,24-206,NYJ,,ARI,W 7-6,,5,7,71.43,29,1,0,118.5,4.14,7.00,4,5,1.25,0
2,2012,15,2012-12-23,24-227,NYJ,,SDG,L 17-27,*,14,24,58.33,185,0,1,65.5,7.71,5.83,4,25,6.25,0
,,,2 Games,,,,,1-1-0,,19,31,61.29,214,1,1,79.2,6.90,6.10,8,30,3.75,0
