
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1976,5,1976-10-10,25-276,STL,,PHI,W 33-14,,1,1,100.00,16,0,0,118.7,16.00,16.00
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
2,1977,11,1977-11-24,26-320,STL,,MIA,L 14-55,,1,1,100.00,3,0,0,79.2,3.00,3.00
3,1977,12,1977-12-04,26-330,STL,@,NYG,L 7-27,,4,4,100.00,35,0,0,103.1,8.75,8.75
,,,3 Games,,,,,1-2-0,,6,6,100.00,54,0,0,104.2,9.00,9.00
