
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1978,6,1978-10-08,22-056,CLE,@,NOR,W 24-16,,0,0,,0,0,0,,,,1,8,8.00,0,0,0
2,1978,7,1978-10-15,22-063,CLE,,PIT,L 14-34,,2,5,40.00,39,0,0,67.9,7.80,7.80,3,33,11.00,0,0,0
3,1978,8,1978-10-22,22-070,CLE,@,KAN,L 3-17,,3,7,42.86,27,0,1,14.3,3.86,-2.57,0,0,,0,0,0
4,1978,9,1978-10-29,22-077,CLE,,BUF,W 41-20,,2,2,100.00,17,1,0,141.7,8.50,18.50,0,0,,0,0,0
5,1978,10,1978-11-05,22-084,CLE,@,HOU,L 10-14,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
6,1978,12,1978-11-19,22-098,CLE,@,BAL,W 45-24,,0,0,,0,0,0,,,,1,17,17.00,0,0,0
7,1978,14,1978-12-03,22-112,CLE,@,SEA,L 24-47,,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0,0,0
8,1978,16,1978-12-17,22-126,CLE,@,CIN,L 16-48,,6,21,28.57,129,0,2,13.1,6.14,1.86,2,5,2.50,1,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
9,1979,5,1979-09-30,23-048,CLE,@,HOU,L 10-31,,2,8,25.00,31,0,1,3.6,3.88,-1.75,0,0,,0,0,0
10,1979,9,1979-10-28,23-076,CLE,@,STL,W 38-20,,0,0,,0,0,0,,,,1,-2,-2.00,0,0,0
,,,10 Games,,,,,4-6-0,,15,47,31.91,243,1,5,17.7,5.17,0.81,8,61,7.63,1,1,6
