
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1968,9,1968-11-10,22-097,WAS,@,PHI,W 16-10,4,14,3.50,0,,1,12,12.00,0,0,0,,0,0,0,,,
2,1968,12,1968-11-28,22-115,WAS,@,DAL,L 20-29,1,4,4.00,0,,0,0,,0,0,0,,0,0,0,,,
3,1968,13,1968-12-08,22-125,WAS,,CLE,L 21-24,0,0,,0,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00
,,,3 Games,,,,,1-2-0,5,18,3.60,0,,1,12,12.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00
