
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1970,7,1970-11-01,23-237,HOU,@,STL,L 0-44,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
2,1970,14,1970-12-20,23-286,HOU,@,DAL,L 10-52,,6,19,31.58,85,0,2,7.5,4.47,-0.26,3,12,4.00,0
,,,2 Games,,,,,0-2-0,,6,20,30.00,85,0,2,5.2,4.25,-0.25,3,12,4.00,0
