
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1996,6,1996-10-06,24-288,CHI,,GNB,L 6-37,,3,4,75.00,37,0,0,103.1,9.25,9.25,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,1997,9,1997-11-02,25-314,CHI,,WAS,L 8-31,,4,5,80.00,50,0,1,68.7,10.00,1.00,0,0,,0,0,0,0,,0,0,0
3,1997,11,1997-11-16,25-328,CHI,,NYJ,L 15-23,,1,5,20.00,1,0,1,0.0,0.20,-8.80,0,0,,0,0,0,0,,0,0,0
4,1997,13,1997-11-27,25-339,CHI,@,DET,L 20-55,,3,4,75.00,19,0,0,84.4,4.75,4.75,1,6,6.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,1998,9,1998-11-08,26-320,CHI,,STL,L 12-20,*,15,25,60.00,154,1,1,74.4,6.16,5.16,2,24,12.00,0,0,0,0,,0,0,0
6,1998,10,1998-11-15,26-327,CHI,@,DET,L 3-26,*,13,25,52.00,159,0,0,71.9,6.36,6.36,1,-1,-1.00,0,0,0,0,,0,0,0
7,1998,11,1998-11-22,26-334,CHI,@,ATL,L 13-20,*,7,18,38.89,109,0,2,20.1,6.06,1.06,5,18,3.60,0,0,0,0,,0,0,0
8,1998,13,1998-12-06,26-348,CHI,@,MIN,L 22-48,*,25,42,59.52,303,1,1,79.8,7.21,6.62,4,15,3.75,1,0,0,0,,0,1,6
9,1998,14,1998-12-13,26-355,CHI,@,GNB,L 20-26,*,16,28,57.14,126,0,0,68.5,4.50,4.50,4,14,3.50,1,0,0,0,,0,1,6
10,1998,15,1998-12-20,26-362,CHI,,BAL,W 24-3,*,19,28,67.86,202,1,0,100.6,7.21,7.93,2,9,4.50,0,0,0,0,,0,0,0
11,1998,16,1998-12-27,27-004,CHI,,GNB,L 13-16,*,17,30,56.67,199,1,2,60.3,6.63,4.30,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
12,1999,7,1999-10-24,27-305,SFO,@,MIN,L 16-40,,4,4,100.00,13,0,0,80.2,3.25,3.25,0,0,,0,0,0,0,,0,0,0
13,1999,8,1999-11-07,27-319,SFO,,PIT,L 6-27,,5,15,33.33,54,0,1,17.1,3.60,0.60,1,7,7.00,0,1,1,9,9.00,0,0,0
14,1999,9,1999-11-14,27-326,SFO,@,NOR,L 6-24,*,18,32,56.25,157,0,1,56.4,4.91,3.50,1,8,8.00,0,0,0,0,,0,0,0
15,1999,10,1999-11-21,27-333,SFO,,STL,L 7-23,*,7,12,58.33,108,0,1,53.5,9.00,5.25,1,0,0.00,0,0,0,0,,0,0,0
16,1999,11,1999-11-29,27-341,SFO,,GNB,L 3-20,*,19,35,54.29,195,0,1,58.6,5.57,4.29,0,0,,0,0,0,0,,0,0,0
17,1999,13,1999-12-12,27-354,SFO,,ATL,W 26-7,,1,2,50.00,9,0,0,62.5,4.50,4.50,0,0,,0,0,0,0,,0,0,0
,,,17 Games,,,,,2-15-0,,177,314,56.37,1895,4,12,62.5,6.04,4.57,22,100,4.55,2,1,1,9,9.00,0,2,12
