
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2000,11,2000-11-19,26-214,CAR,@,MIN,L 17-31,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,,0
2,2000,12,2000-11-27,26-222,CAR,,GNB,W 31-14,,0,0,,0,0,0,,,,1,5,5.00,0,1,0,0,,0
3,2000,13,2000-12-03,26-228,CAR,,STL,W 16-3,,0,0,,0,0,0,,,,0,0,,0,1,1,4,4.00,0
4,2000,14,2000-12-10,26-235,CAR,@,KAN,L 14-15,,0,0,,0,0,0,,,,0,0,,0,1,1,0,0.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
5,2001,3,2001-09-30,27-164,CAR,,GNB,L 7-28,,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0
6,2001,8,2001-11-04,27-199,CAR,@,MIA,L 6-23,,4,8,50.00,34,0,0,61.5,4.25,4.25,3,20,6.67,0,0,0,0,,0
,,,6 Games,,,,,2-4-0,,4,8,50.00,34,0,0,61.5,4.25,4.25,5,24,4.80,0,3,2,4,2.00,0
