
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2005,7,2005-10-23,26-253,TEN,@,ARI,L 10-20,,8,13,61.54,71,0,0,76.1,5.46,5.46,4,20,5.00,0
2,2005,8,2005-10-30,26-260,TEN,,OAK,L 25-34,,0,0,,0,0,0,,,,0,0,,0
3,2005,16,2006-01-01,26-323,TEN,@,JAX,L 13-40,*,7,14,50.00,65,0,1,33.3,4.64,1.43,3,19,6.33,0
,,,3 Games,,,,,0-3-0,,15,27,55.56,136,0,1,53.9,5.04,3.37,7,39,5.57,0
