
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2014,3,2014-09-21,23-317,STL,,DAL,L 31-34
2,2014,4,2014-10-05,23-331,STL,@,PHI,L 28-34
3,2014,5,2014-10-13,23-339,STL,,SFO,L 17-31
4,2014,6,2014-10-19,23-345,STL,,SEA,W 28-26
5,2014,11,2014-11-23,24-015,STL,@,SDG,L 24-27
6,2014,12,2014-11-30,24-022,STL,,OAK,W 52-0
,,,6 Games,,,,,2-4-0
