
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,6,2013-10-13,23-262,HOU,,STL,L 13-38
2,2013,7,2013-10-20,23-269,HOU,@,KAN,L 16-17
3,2013,9,2013-11-10,23-290,HOU,@,ARI,L 24-27
4,2013,10,2013-11-17,23-297,HOU,,OAK,L 23-28
5,2013,11,2013-11-24,23-304,HOU,,JAX,L 6-13
6,2013,12,2013-12-01,23-311,HOU,,NWE,L 31-34
7,2013,13,2013-12-05,23-315,HOU,@,JAX,L 20-27
8,2013,16,2013-12-29,23-339,SDG,,KAN,W 27-24
,,,8 Games,,,,,1-7-0
