
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2015,1,2015-09-10,25-002,NWE,,PIT,W 28-21,0,0,0,,0,1,8,8.00,0
2,2015,2,2015-09-20,25-012,NWE,@,BUF,W 40-32,1,1,15,15.00,0,0,0,,0
3,2015,3,2015-09-27,25-019,NWE,,JAX,W 51-17,0,0,0,,0,0,0,,0
4,2015,4,2015-10-11,25-033,NWE,@,DAL,W 30-6,0,0,0,,0,0,0,,0
5,2015,5,2015-10-18,25-040,NWE,@,IND,W 34-27,0,0,0,,0,0,0,,0
6,2015,6,2015-10-25,25-047,NWE,,NYJ,W 30-23,2,1,4,4.00,0,0,0,,0
7,2015,7,2015-10-29,25-051,NWE,,MIA,W 36-7,0,0,0,,0,0,0,,0
8,2015,8,2015-11-08,25-061,NWE,,WAS,W 27-10,0,0,0,,0,0,0,,0
9,2015,9,2015-11-15,25-068,NWE,@,NYG,W 27-26,1,0,0,,0,0,0,,0
10,2015,10,2015-11-23,25-076,NWE,,BUF,W 20-13,0,0,0,,0,1,10,10.00,0
,,,10 Games,,,,,10-0-0,4,2,19,9.50,0,2,18,9.00,0
