
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,1,2013-09-08,24-124,ARI,@,STL,L 24-27
2,2013,2,2013-09-15,24-131,ARI,,DET,W 25-21
3,2013,4,2013-09-29,24-145,ARI,@,TAM,W 13-10
4,2013,8,2013-10-27,24-173,ARI,,ATL,W 27-13
,,,4 Games,,,,,3-1-0
