
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,1,2014-09-08,21-151,DET,,NYG,W 35-14,2,0,0,,0,0,0
2,2014,2,2014-09-14,21-157,DET,@,CAR,L 7-24,5,3,38,12.67,0,0,0
3,2014,3,2014-09-21,21-164,DET,,GNB,W 19-7,1,0,0,,0,0,0
4,2014,4,2014-09-28,21-171,DET,@,NYJ,W 24-17,4,3,34,11.33,1,1,6
5,2014,5,2014-10-05,21-178,DET,,BUF,L 14-17,4,2,8,4.00,0,0,0
6,2014,6,2014-10-12,21-185,DET,@,MIN,W 17-3,4,2,23,11.50,0,0,0
7,2014,10,2014-11-16,21-220,DET,@,ARI,L 6-14,4,4,22,5.50,0,0,0
8,2014,11,2014-11-23,21-227,DET,@,NWE,L 9-34,7,2,23,11.50,0,0,0
9,2014,12,2014-11-27,21-231,DET,,CHI,W 34-17,4,3,23,7.67,0,0,0
10,2014,13,2014-12-07,21-241,DET,,TAM,W 34-17,4,3,28,9.33,0,0,0
11,2014,14,2014-12-14,21-248,DET,,MIN,W 16-14,2,1,11,11.00,0,0,0
12,2014,15,2014-12-21,21-255,DET,@,CHI,W 20-14,,,,,,,
13,2014,16,2014-12-28,21-262,DET,@,GNB,L 20-30,6,2,38,19.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,2015,1,2015-09-13,22-156,DET,@,SDG,L 28-33,5,4,53,13.25,1,1,6
15,2015,2,2015-09-20,22-163,DET,@,MIN,L 16-26,10,5,43,8.60,1,1,6
16,2015,3,2015-09-27,22-170,DET,,DEN,L 12-24,5,4,61,15.25,0,0,0
17,2015,4,2015-10-05,22-178,DET,@,SEA,L 10-13,3,2,22,11.00,0,0,0
18,2015,7,2015-10-25,22-198,DET,,MIN,L 19-28,5,5,89,17.80,1,1,6
19,2015,8,2015-11-01,22-205,DET,@,KAN,L 10-45,5,3,24,8.00,0,0,0
20,2015,9,2015-11-15,22-219,DET,@,GNB,W 18-16,8,4,28,7.00,0,0,0
21,2015,10,2015-11-22,22-226,DET,,OAK,W 18-13,2,0,0,,0,0,0
22,2015,11,2015-11-26,22-230,DET,,PHI,W 45-14,3,2,28,14.00,0,0,0
,,,22 Games,,,,,11-11-0,93,54,596,11.04,4,4,24
