
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2014,3,2014-09-21,22-184,SFO,@,ARI,L 14-23,,,,,
2,2014,12,2014-11-27,22-251,SFO,,SEA,L 3-19,,,,,
3,2014,13,2014-12-07,22-261,SFO,@,OAK,L 13-24,,,,,
4,2014,14,2014-12-14,22-268,SFO,@,SEA,L 7-17,1,0,0,,0
5,2014,15,2014-12-20,22-274,SFO,,SDG,L 35-38,,,,,
6,2014,16,2014-12-28,22-282,SFO,,ARI,W 20-17,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
7,2015,11,2015-11-29,23-253,NWE,@,DEN,L 24-30,1,1,1,1.00,0
,,,7 Games,,,,,1-6-0,2,1,1,1.00,0
