
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2012,1,2012-09-09,25-025,IND,@,CHI,L 21-41,1,1,8,8.00,0
2,2012,2,2012-09-16,25-032,IND,,MIN,W 23-20,,,,,
3,2012,3,2012-09-23,25-039,IND,,JAX,L 17-22,0,,,,
4,2012,4,2012-10-07,25-053,IND,,GNB,W 30-27,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
5,2013,1,2013-09-08,26-024,IND,,OAK,W 21-17,,,,,
6,2013,2,2013-09-15,26-031,IND,,MIA,L 20-24,2,1,13,13.00,0
7,2013,3,2013-09-22,26-038,IND,@,SFO,W 27-7,,,,,
8,2013,4,2013-09-29,26-045,IND,@,JAX,W 37-3,1,1,21,21.00,0
9,2013,5,2013-10-06,26-052,IND,,SEA,W 34-28,,,,,
10,2013,6,2013-10-14,26-060,IND,@,SDG,L 9-19,,,,,
11,2013,13,2013-12-08,26-115,KAN,@,WAS,W 45-10,,,,,
12,2013,14,2013-12-15,26-122,KAN,@,OAK,W 56-31,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
13,2014,14,2014-12-14,27-121,DEN,@,SDG,W 22-10,,,,,
,,,13 Games,,,,,9-4-0,4,3,42,14.00,0
