
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2015,4,2015-10-04,22-220,GNB,@,SFO,W 17-3
2,2015,5,2015-10-11,22-227,GNB,,STL,W 24-10
3,2015,10,2015-11-22,22-269,GNB,@,MIN,W 30-13
4,2015,11,2015-11-26,22-273,GNB,,CHI,L 13-17
,,,4 Games,,,,,3-1-0
