
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,12,2014-11-30,23-150,TAM,,CIN,L 13-14,1,1,17,17.00,0,0,0
2,2014,13,2014-12-07,23-157,TAM,@,DET,L 17-34,,,,,,,
3,2014,14,2014-12-14,23-164,TAM,@,CAR,L 17-19,,,,,,,
4,2014,15,2014-12-21,23-171,TAM,,GNB,L 3-20,,,,,,,
5,2014,16,2014-12-28,23-178,TAM,,NOR,L 20-23,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
6,2015,3,2015-09-27,24-086,TAM,@,HOU,L 9-19,0,0,0,,0,0,0
7,2015,4,2015-10-04,24-093,TAM,,CAR,L 23-37,1,1,7,7.00,0,0,0
8,2015,5,2015-10-11,24-100,TAM,,JAX,W 38-31,0,0,0,,0,0,0
9,2015,6,2015-10-25,24-114,TAM,@,WAS,L 30-31,1,1,6,6.00,0,0,0
10,2015,7,2015-11-01,24-121,TAM,@,ATL,W 23-20,2,2,48,24.00,1,1,6
11,2015,8,2015-11-08,24-128,TAM,,NYG,L 18-32,1,1,17,17.00,0,0,0
12,2015,9,2015-11-15,24-135,TAM,,DAL,W 10-6,2,1,6,6.00,0,0,0
13,2015,10,2015-11-22,24-142,TAM,@,PHI,W 45-17,4,3,47,15.67,1,1,6
14,2015,11,2015-11-29,24-149,TAM,@,IND,L 12-25,6,5,53,10.60,1,1,6
,,,14 Games,,,,,4-10-0,18,15,201,13.40,3,3,18
