
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2014,13,2014-12-07,22-238,OAK,,SFO,W 24-13,,,
2,2014,14,2014-12-14,22-245,OAK,@,KAN,L 13-31,,,
3,2014,15,2014-12-21,22-252,OAK,,BUF,W 26-24,,,
4,2014,16,2014-12-28,22-259,OAK,@,DEN,L 14-47,0.0,1,0
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
5,2015,7,2015-11-02,23-203,CAR,,IND,W 29-26,0.0,0,0
6,2015,9,2015-11-15,23-216,CAR,@,TEN,W 27-10,0.0,0,0
7,2015,10,2015-11-22,23-223,CAR,,WAS,W 44-16,0.0,0,0
8,2015,11,2015-11-26,23-227,CAR,@,DAL,W 33-14,0.0,0,0
,,,8 Games,,,,,6-2-0,0.0,1,0
