
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,2013,2,2013-09-15,23-345,KAN,,DAL,W 17-16,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
2,2014,1,2014-09-07,24-337,KAN,,TEN,L 10-26,5,3,49,16.33,0,,0,0
3,2014,2,2014-09-14,24-344,KAN,@,DEN,L 17-24,6,4,81,20.25,0,,0,0
4,2014,3,2014-09-21,24-351,KAN,@,MIA,W 34-15,4,3,36,12.00,1,,1,6
5,2014,4,2014-09-29,24-359,KAN,,NWE,W 41-14,9,8,93,11.63,1,,1,6
6,2014,5,2014-10-05,25-000,KAN,@,SFO,L 17-22,3,2,15,7.50,1,,1,6
7,2014,6,2014-10-19,25-014,KAN,@,SDG,W 23-20,4,4,33,8.25,0,,0,0
8,2014,7,2014-10-26,25-021,KAN,,STL,W 34-7,6,4,45,11.25,0,,0,0
9,2014,8,2014-11-02,25-028,KAN,,NYJ,W 24-10,5,4,67,16.75,1,,1,6
10,2014,9,2014-11-09,25-035,KAN,@,BUF,W 17-13,2,2,19,9.50,0,,0,0
11,2014,10,2014-11-16,25-042,KAN,,SEA,W 24-20,5,3,37,12.33,0,,0,0
12,2014,11,2014-11-20,25-046,KAN,@,OAK,L 20-24,5,4,67,16.75,0,,0,0
13,2014,12,2014-11-30,25-056,KAN,,DEN,L 16-29,3,3,36,12.00,0,,0,0
14,2014,13,2014-12-07,25-063,KAN,@,ARI,L 14-17,9,7,110,15.71,0,,0,0
15,2014,14,2014-12-14,25-070,KAN,,OAK,W 31-13,6,5,59,11.80,1,,1,6
16,2014,15,2014-12-21,25-077,KAN,@,PIT,L 12-20,7,4,31,7.75,0,,0,0
17,2014,16,2014-12-28,25-084,KAN,,SDG,W 19-7,8,7,84,12.00,0,,0,6
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
18,2015,1,2015-09-13,25-343,KAN,@,HOU,W 27-20,6,6,106,17.67,2,,2,12
19,2015,2,2015-09-17,25-347,KAN,,DEN,L 24-31,5,4,58,14.50,0,,0,0
20,2015,3,2015-09-28,25-358,KAN,@,GNB,L 28-38,10,6,80,13.33,0,1,0,2
21,2015,4,2015-10-04,25-364,KAN,@,CIN,L 21-36,7,5,49,9.80,0,,0,0
22,2015,5,2015-10-11,26-006,KAN,,CHI,L 17-18,6,3,35,11.67,0,,0,0
23,2015,6,2015-10-18,26-013,KAN,@,MIN,L 10-16,7,5,88,17.60,0,,0,0
24,2015,7,2015-10-25,26-020,KAN,,PIT,W 23-13,6,5,73,14.60,0,,0,0
25,2015,8,2015-11-01,26-027,KAN,,DET,W 45-10,8,6,49,8.17,1,,1,6
26,2015,9,2015-11-15,26-041,KAN,@,DEN,W 29-13,9,5,36,7.20,0,,0,0
27,2015,10,2015-11-22,26-048,KAN,@,SDG,W 33-3,7,5,46,9.20,0,,0,0
28,2015,11,2015-11-29,26-055,KAN,,BUF,W 30-22,7,4,69,17.25,1,,1,6
,,,28 Games,,,,,16-12-0,165,121,1551,12.82,9,1,9,62
