
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,2014,12,2014-12-01,24-254,NYJ,,MIA,L 13-16,1,24,24.00,0
2,2014,13,2014-12-07,24-260,NYJ,@,MIN,L 24-30,,,,
3,2014,14,2014-12-14,24-267,NYJ,@,TEN,W 16-11,,,,
4,2014,15,2014-12-21,24-274,NYJ,,NWE,L 16-17,,,,
5,2014,16,2014-12-28,24-281,NYJ,@,MIA,W 37-24,,,,
,,,5 Games,,,,,2-3-0,1,24,24.00,0
