
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2013,16,2013-12-29,23-333,HOU,@,TEN,L 10-16,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
2,2014,4,2014-09-28,24-241,BAL,,CAR,W 38-10,,,,,
3,2014,8,2014-10-26,24-269,BAL,@,CIN,L 24-27,,,,,
4,2014,9,2014-11-02,24-276,BAL,@,PIT,L 23-43,1,1,-2,-2.00,0
5,2014,10,2014-11-16,24-290,KAN,,SEA,W 24-20,1,1,3,3.00,0
6,2014,11,2014-11-20,24-294,KAN,@,OAK,L 20-24,,,,,
7,2014,13,2014-12-07,24-311,BAL,@,MIA,W 28-13,1,1,29,29.00,0
8,2014,14,2014-12-14,24-318,BAL,,JAX,W 20-12,,,,,
9,2014,15,2014-12-21,24-325,BAL,@,HOU,L 13-25,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
10,2015,1,2015-09-13,25-226,TEN,@,TAM,W 42-14,0,0,0,,0
11,2015,2,2015-09-20,25-233,TEN,@,CLE,L 14-28,0,0,0,,0
12,2015,3,2015-09-27,25-240,TEN,,IND,L 33-35,0,0,0,,0
13,2015,4,2015-10-11,25-254,TEN,,BUF,L 13-14,0,0,0,,0
14,2015,5,2015-10-18,25-261,TEN,,MIA,L 10-38,0,0,0,,0
15,2015,6,2015-10-25,25-268,TEN,,ATL,L 7-10,0,0,0,,0
16,2015,7,2015-11-01,25-275,TEN,@,HOU,L 6-20,0,0,0,,0
17,2015,8,2015-11-08,25-282,TEN,@,NOR,W 34-28,0,0,0,,0
18,2015,9,2015-11-15,25-289,TEN,,CAR,L 10-27,0,0,0,,0
19,2015,10,2015-11-19,25-293,TEN,@,JAX,L 13-19,2,2,16,8.00,0
20,2015,11,2015-11-29,25-303,TEN,,OAK,L 21-24,0,0,0,,0
,,,20 Games,,,,,6-14-0,5,5,46,9.20,0
