
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-07,24-158,OAK,@,NYJ,L 14-19,1,1,12,12.00,0,0,0,0.0,0,0
2,2014,2,2014-09-14,24-165,OAK,,HOU,L 14-30,,,,,,,,,,
3,2014,3,2014-09-21,24-172,OAK,@,NWE,L 9-16,1,1,7,7.00,0,0,0,0.0,0,0
4,2014,4,2014-09-28,24-179,OAK,,MIA,L 14-38,1,1,3,3.00,1,1,6,0.0,1,0
5,2014,5,2014-10-12,24-193,OAK,,SDG,L 28-31,,,,,,,,,,
6,2014,6,2014-10-19,24-200,OAK,,ARI,L 13-24,2,1,4,4.00,0,0,0,0.0,1,0
7,2014,7,2014-10-26,24-207,OAK,@,CLE,L 13-23,,0,0,,0,0,0,0.0,1,0
8,2014,8,2014-11-02,24-214,OAK,@,SEA,L 24-30,1,0,0,,0,0,0,0.0,0,0
9,2014,9,2014-11-09,24-221,OAK,,DEN,L 17-41,1,1,5,5.00,0,0,0,0.0,1,0
10,2014,10,2014-11-16,24-228,OAK,@,SDG,L 6-13,1,1,4,4.00,0,0,0,0.0,1,0
11,2014,11,2014-11-20,24-232,OAK,,KAN,W 24-20,,,,,,,,,,
12,2014,12,2014-11-30,24-242,OAK,@,STL,L 0-52,,,,,,,,,,
,,,12 Games,,,,,1-11-0,8,6,35,5.83,1,1,6,0.0,5,0
