
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,2,2013-09-15,24-135,GNB,,WAS,W 38-20,,,,,,,,,,
2,2013,3,2013-09-22,24-142,GNB,@,CIN,L 30-34,,,,,,,,,,
3,2013,5,2013-10-13,24-163,GNB,@,BAL,W 19-17,0,0,0,,0,0,0,0.0,2,0
4,2013,6,2013-10-20,24-170,GNB,,CLE,W 31-13,,,,,,,,,,
5,2013,7,2013-10-27,24-177,GNB,@,MIN,W 44-31,,,,,,,,,,
6,2013,8,2013-11-04,24-185,GNB,,CHI,L 20-27,,,,,,,,,,
7,2013,9,2013-11-10,24-191,GNB,,PHI,L 13-27,3,3,42,14.00,1,1,6,0.0,1,0
8,2013,10,2013-11-17,24-198,GNB,@,NYG,L 13-27,1,1,26,26.00,0,0,0,0.0,0,1
9,2013,11,2013-11-24,24-205,GNB,,MIN,T 26-26,5,1,24,24.00,0,0,0,0.0,1,1
10,2013,13,2013-12-08,24-219,GNB,,ATL,W 22-21,4,2,28,14.00,0,0,0,0.0,0,0
11,2013,14,2013-12-15,24-226,GNB,@,DAL,W 37-36,1,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
12,2014,2,2014-09-14,25-134,GNB,,NYJ,W 31-24,,,,,,,,,,
13,2014,3,2014-09-21,25-141,GNB,@,DET,L 7-19,0,,,,,,,,,
14,2014,4,2014-09-28,25-148,GNB,@,CHI,W 38-17,0,0,0,,0,0,0,0.0,1,0
15,2014,5,2014-10-02,25-152,GNB,,MIN,W 42-10,,,,,,,,,,
16,2014,6,2014-10-12,25-162,GNB,@,MIA,W 27-24,,,,,,,,,,
17,2014,7,2014-10-19,25-169,GNB,,CAR,W 38-17,2,1,2,2.00,0,0,0,0.0,0,0
18,2014,8,2014-10-26,25-176,GNB,@,NOR,L 23-44,,,,,,,,,,
19,2014,9,2014-11-09,25-190,GNB,,CHI,W 55-14,2,1,1,1.00,1,1,6,0.0,0,0
20,2014,12,2014-11-30,25-211,GNB,,NWE,W 26-21,,,,,,,,,,
21,2014,13,2014-12-08,25-219,GNB,,ATL,W 43-37,0,0,0,,0,0,0,0.0,1,0
22,2014,14,2014-12-14,25-225,GNB,@,BUF,L 13-21,0,,,,,,,,,
23,2014,15,2014-12-21,25-232,GNB,@,TAM,W 20-3,,,,,,,,,,
24,2014,16,2014-12-28,25-239,GNB,,DET,W 30-20,0,0,0,,0,0,0,0.0,1,1
,,,24 Games,,,,,16-7-1,18,9,123,13.67,2,2,12,0.0,7,3
