
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2012,11,2012-11-25,26-053,SDG,,BAL,L 13-16,,,
2,2012,12,2012-12-02,26-060,SDG,,CIN,L 13-20,,,
3,2012,13,2012-12-09,26-067,SDG,@,PIT,W 34-24,,,
4,2012,14,2012-12-16,26-074,SDG,,CAR,L 7-31,,,
5,2012,15,2012-12-23,26-081,SDG,@,NYJ,W 27-17,0.0,1,0
6,2012,16,2012-12-30,26-088,SDG,,OAK,W 24-21,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
7,2013,6,2013-10-20,27-017,WAS,,CHI,W 45-41,,,
8,2013,7,2013-10-27,27-024,WAS,@,DEN,L 21-45,,,
9,2013,8,2013-11-03,27-031,WAS,,SDG,W 30-24,,,
10,2013,9,2013-11-07,27-035,WAS,@,MIN,L 27-34,,,
11,2013,10,2013-11-17,27-045,WAS,@,PHI,L 16-24,,,
12,2013,11,2013-11-25,27-053,WAS,,SFO,L 6-27,,,
13,2013,12,2013-12-01,27-059,WAS,,NYG,L 17-24,0.0,0,0
14,2013,13,2013-12-08,27-066,WAS,,KAN,L 10-45,,,
15,2013,14,2013-12-15,27-073,WAS,@,ATL,L 26-27,,,
16,2013,15,2013-12-22,27-080,WAS,,DAL,L 23-24,,,
17,2013,16,2013-12-29,27-087,WAS,@,NYG,L 6-20,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
18,2014,1,2014-09-07,27-339,SFO,@,DAL,W 28-17,,,
19,2014,2,2014-09-14,27-346,SFO,,CHI,L 20-28,0.0,1,0
20,2014,3,2014-09-21,27-353,SFO,@,ARI,L 14-23,,,
21,2014,4,2014-09-28,27-360,SFO,,PHI,W 26-21,,,
22,2014,5,2014-10-05,28-002,SFO,,KAN,W 22-17,,,
23,2014,6,2014-10-13,28-010,SFO,@,STL,W 31-17,,,
24,2014,7,2014-10-19,28-016,SFO,@,DEN,L 17-42,,,
25,2014,8,2014-11-02,28-030,SFO,,STL,L 10-13,,,
26,2014,9,2014-11-09,28-037,SFO,@,NOR,W 27-24,0.0,1,0
27,2014,10,2014-11-16,28-044,SFO,@,NYG,W 16-10,,,
28,2014,11,2014-11-23,28-051,SFO,,WAS,W 17-13,,,
29,2014,12,2014-11-27,28-055,SFO,,SEA,L 3-19,0.0,1,0
30,2014,13,2014-12-07,28-065,SFO,@,OAK,L 13-24,,,
31,2014,14,2014-12-14,28-072,SFO,@,SEA,L 7-17,,,
32,2014,15,2014-12-20,28-078,SFO,,SDG,L 35-38,,,
33,2014,16,2014-12-28,28-086,SFO,,ARI,W 20-17,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
34,2015,1,2015-09-14,28-346,SFO,,MIN,W 20-3,0.0,0,0
35,2015,2,2015-09-20,28-352,SFO,@,PIT,L 18-43,0.0,0,0
36,2015,3,2015-09-27,28-359,SFO,@,ARI,L 7-47,0.0,0,0
37,2015,4,2015-10-04,29-001,SFO,,GNB,L 3-17,0.0,0,0
38,2015,5,2015-10-11,29-008,SFO,@,NYG,L 27-30,0.0,0,0
39,2015,6,2015-10-18,29-015,SFO,,BAL,W 25-20,0.0,0,0
40,2015,7,2015-10-22,29-019,SFO,,SEA,L 3-20,0.0,0,0
41,2015,8,2015-11-01,29-029,SFO,@,STL,L 6-27,0.0,0,0
42,2015,9,2015-11-08,29-036,SFO,,ATL,W 17-16,0.0,0,0
43,2015,10,2015-11-22,29-050,SFO,@,SEA,L 13-29,0.0,0,0
44,2015,11,2015-11-29,29-057,SFO,,ARI,L 13-19,0.0,0,0
,,,44 Games,,,,,16-28-0,0.0,4,0
