
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2014,1,2014-09-07,22-073,NYJ,,OAK,W 19-14,4,2,7,3.50,0,0,0,,0,0,0
2,2014,2,2014-09-14,22-080,NYJ,@,GNB,L 24-31,1,1,6,6.00,0,0,0,,0,0,0
3,2014,3,2014-09-22,22-088,NYJ,,CHI,L 19-27,4,3,54,18.00,0,0,0,,0,0,0
4,2014,4,2014-09-28,22-094,NYJ,,DET,L 17-24,5,5,58,11.60,0,0,0,,0,0,0
5,2014,5,2014-10-05,22-101,NYJ,@,SDG,L 0-31,3,3,19,6.33,0,0,0,,0,0,0
6,2014,6,2014-10-12,22-108,NYJ,,DEN,L 17-31,12,10,68,6.80,1,0,0,,0,1,6
7,2014,7,2014-10-16,22-112,NYJ,@,NWE,L 25-27,5,3,22,7.33,0,0,0,,0,0,0
8,2014,8,2014-10-26,22-122,NYJ,,BUF,L 23-43,5,5,51,10.20,0,0,0,,0,0,0
9,2014,9,2014-11-02,22-129,NYJ,@,KAN,L 10-24,0,0,0,,0,1,21,21.00,0,0,0
10,2014,10,2014-11-09,22-136,NYJ,,PIT,W 20-13,5,2,6,3.00,1,0,0,,0,1,6
11,2014,11,2014-11-24,22-151,NYJ,@,BUF,L 3-38,2,0,0,,0,0,0,,0,0,0
12,2014,14,2014-12-14,22-171,NYJ,@,TEN,W 16-11,1,1,20,20.00,0,0,0,,0,0,0
13,2014,15,2014-12-21,22-178,NYJ,,NWE,L 16-17,2,0,0,,0,0,0,,0,0,0
14,2014,16,2014-12-28,22-185,NYJ,@,MIA,W 37-24,4,3,34,11.33,0,0,0,,0,0,0
,,,14 Games,,,,,4-10-0,53,38,345,9.08,2,1,21,21.00,0,2,12
