
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,10,2014-11-16,23-315,GNB,,PHI,W 53-20,,,,,,,
2,2014,11,2014-11-23,23-322,GNB,@,MIN,W 24-21,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
3,2015,6,2015-10-18,24-286,GNB,,SDG,W 27-20,2,1,21,21.00,0,0,0
4,2015,7,2015-11-01,24-300,GNB,@,DEN,L 10-29,1,1,6,6.00,0,0,0
5,2015,8,2015-11-08,24-307,GNB,@,CAR,L 29-37,0,0,0,,0,0,0
6,2015,9,2015-11-15,24-314,GNB,,DET,L 16-18,6,5,58,11.60,1,1,6
7,2015,10,2015-11-22,24-321,GNB,@,MIN,W 30-13,0,0,0,,0,0,0
8,2015,11,2015-11-26,24-325,GNB,,CHI,L 13-17,2,2,9,4.50,0,0,0
,,,8 Games,,,,,4-4-0,11,9,94,10.44,1,,6
