
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2014,7,2014-10-19,25-099,DET,,NOR,W 24-23
2,2014,8,2014-10-26,25-106,DET,@,ATL,W 22-21
,,,2 Games,,,,,2-0-0
