
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2015,1,2015-09-13,21-154,BAL,@,DEN,L 13-19,2,1,15,15.00,0,0,0,,0,0,0
2,2015,2,2015-09-20,21-161,BAL,@,OAK,L 33-37,1,1,8,8.00,0,0,0,,0,0,0
3,2015,3,2015-09-27,21-168,BAL,,CIN,L 24-28,7,3,44,14.67,0,0,0,,0,0,0
4,2015,4,2015-10-01,21-172,BAL,@,PIT,W 23-20,4,2,17,8.50,0,0,0,,0,0,0
5,2015,5,2015-10-11,21-182,BAL,,CLE,L 30-33,1,1,0,0.00,0,0,0,,0,0,0
6,2015,6,2015-10-18,21-189,BAL,@,SFO,L 20-25,4,4,24,6.00,0,0,0,,0,0,0
7,2015,8,2015-11-01,21-203,BAL,,SDG,W 29-26,0,0,0,,0,0,0,,0,0,0
8,2015,9,2015-11-15,21-217,BAL,,JAX,L 20-22,4,4,40,10.00,1,0,0,,0,1,6
9,2015,10,2015-11-22,21-224,BAL,,STL,W 16-13,4,3,20,6.67,0,0,0,,0,0,0
10,2015,11,2015-11-30,21-232,BAL,@,CLE,W 33-27,0,0,0,,0,1,6,6.00,0,0,0
,,,10 Games,,,,,4-6-0,27,19,168,8.84,1,1,6,6.00,0,,6
