
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2015,3,2015-09-27,22-290,DEN,@,DET,W 24-12
2,2015,5,2015-10-11,22-304,DEN,@,OAK,W 16-10
,,,2 Games,,,,,2-0-0
