
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2014,6,2014-10-12,26-303,TEN,,JAX,W 16-14,,,
2,2014,7,2014-10-19,26-310,TEN,@,WAS,L 17-19,,,
3,2014,7,2014-10-26,26-317,SEA,@,CAR,W 13-9,,,
4,2014,10,2014-11-17,26-339,TEN,,PIT,L 24-27,,,
5,2014,11,2014-11-23,26-345,TEN,@,PHI,L 24-43,0.0,1,0
6,2014,12,2014-11-30,26-352,TEN,@,HOU,L 21-45,,,
7,2014,13,2014-12-07,26-359,TEN,,NYG,L 7-36,,,
8,2014,14,2014-12-14,27-001,TEN,,NYJ,L 11-16,,,
,,,8 Games,,,,,2-6-0,0.0,1,0
