
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2010,4,2010-10-04,23-360,MIA,,NWE,L 14-41,,,,,,,,
2,2010,5,2010-10-17,24-008,MIA,@,GNB,W 23-20,,,,,,,,
3,2010,6,2010-10-24,24-015,MIA,,PIT,L 22-23,,,,,,,,
4,2010,10,2010-11-18,24-040,MIA,,CHI,L 0-16,,,,,,,,
5,2010,15,2010-12-26,24-078,MIA,,DET,L 27-34,4,2,44,22.00,0,0.0,1,0
6,2010,16,2011-01-02,24-085,MIA,@,NWE,L 7-38,1,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
7,2014,1,2014-09-07,27-333,JAX,@,PHI,L 17-34,1,0,0,,0,0.0,0,0
8,2014,2,2014-09-14,27-340,JAX,@,WAS,L 10-41,1,0,0,,0,0.0,0,0
9,2014,3,2014-09-21,27-347,JAX,,IND,L 17-44,1,0,0,,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
10,2015,4,2015-10-04,28-360,ATL,,HOU,W 48-21,0,0,0,,0,0.0,0,0
,,,10 Games,,,,,2-8-0,8,2,44,22.00,0,0.0,1,0
