
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,1,2013-09-08,22-307,OAK,@,IND,L 17-21,,,,,,,,,,
2,2013,2,2013-09-15,22-314,OAK,,JAX,W 19-9,,,,,,,,,,
3,2013,3,2013-09-23,22-322,OAK,@,DEN,L 21-37,,,,,,,,,,
4,2013,4,2013-09-29,22-328,OAK,,WAS,L 14-24,,,,,,,,,,
5,2013,5,2013-10-06,22-335,OAK,,SDG,W 27-17,,,,,,,,,,
6,2013,6,2013-10-13,22-342,OAK,@,KAN,L 7-24,,,,,,,,,,
7,2013,7,2013-10-27,22-356,OAK,,PIT,W 21-18,,,,,,,,,,
8,2013,8,2013-11-03,22-363,OAK,,PHI,L 20-49,1,0,0,,0,0,0,0.0,0,0
9,2013,9,2013-11-10,23-005,OAK,@,NYG,L 20-24,,,,,,,,,,
10,2013,10,2013-11-17,23-012,OAK,@,HOU,W 28-23,,,,,,,,,,
11,2013,11,2013-11-24,23-019,OAK,,TEN,L 19-23,1,0,0,,0,0,0,0.0,1,0
12,2013,12,2013-11-28,23-023,OAK,@,DAL,L 24-31,,,,,,,,,,
13,2013,13,2013-12-08,23-033,OAK,@,NYJ,L 27-37,,,,,,,,,,
14,2013,14,2013-12-15,23-040,OAK,,KAN,L 31-56,1,0,0,,0,0,0,0.0,0,0
15,2013,15,2013-12-22,23-047,OAK,@,SDG,L 13-26,,,,,,,,,,
16,2013,16,2013-12-29,23-054,OAK,,DEN,L 14-34,2,1,9,9.00,1,1,6,0.0,0,0
,,,16 Games,,,,,4-12-0,5,1,9,9.00,1,1,6,0.0,1,0
