
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2014,13,2014-12-07,23-139,HOU,@,JAX,W 27-13,0.0,1,0
2,2014,14,2014-12-14,23-146,HOU,@,IND,L 10-17,,,
3,2014,15,2014-12-21,23-153,HOU,,BAL,W 25-13,0.0,1,0
4,2014,16,2014-12-28,23-160,HOU,,JAX,W 23-17,,,
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
5,2015,3,2015-09-27,24-068,HOU,,TAM,W 19-9,0.0,0,0
,,,5 Games,,,,,4-1-0,0.0,2,0
