
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2012,14,2012-12-17,23-277,TEN,,NYJ,W 14-10
2,2012,15,2012-12-23,23-283,TEN,@,GNB,L 7-55
3,2012,16,2012-12-30,23-290,TEN,,JAX,W 38-20
,,,3 Games,,,,,2-1-0
