
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2012,15,2012-12-23,23-052,MIA,,BUF,W 24-10,,,,,
2,2012,16,2012-12-30,23-059,MIA,@,NWE,L 0-28,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
3,2013,1,2013-09-08,23-311,MIA,@,CLE,W 23-10,,,,,
4,2013,2,2013-09-15,23-318,MIA,@,IND,W 24-20,,,,,
5,2013,3,2013-09-22,23-325,MIA,,ATL,W 27-23,1,1,8,8.00,0
6,2013,4,2013-09-30,23-333,MIA,@,NOR,L 17-38,,,,,
7,2013,5,2013-10-06,23-339,MIA,,BAL,L 23-26,1,0,0,,0
8,2013,6,2013-10-20,23-353,MIA,,BUF,L 21-23,,,,,
9,2013,7,2013-10-27,23-360,MIA,@,NWE,L 17-27,2,1,11,11.00,0
10,2013,8,2013-10-31,23-364,MIA,,CIN,W 22-20,1,1,13,13.00,0
11,2013,9,2013-11-11,24-010,MIA,@,TAM,L 19-22,2,1,7,7.00,0
12,2013,10,2013-11-17,24-016,MIA,,SDG,W 20-16,,,,,
13,2013,11,2013-11-24,24-023,MIA,,CAR,L 16-20,1,1,5,5.00,0
14,2013,12,2013-12-01,24-030,MIA,@,NYJ,W 23-3,,,,,
15,2013,13,2013-12-08,24-037,MIA,@,PIT,W 34-28,,,,,
16,2013,14,2013-12-15,24-044,MIA,,NWE,W 24-20,3,2,25,12.50,0
17,2013,15,2013-12-22,24-051,MIA,@,BUF,L 0-19,,,,,
18,2013,16,2013-12-29,24-058,MIA,,NYJ,L 7-20,,,,,
,,,18 Games,,,,,9-9-0,11,7,69,9.86,0
