
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,23-327,OAK,,CIN,L 13-33,2,1,1,1.00,0,0,0
2,2015,2,2015-09-20,23-334,OAK,,BAL,W 37-33,2,1,4,4.00,0,0,0
3,2015,3,2015-09-27,23-341,OAK,@,CLE,W 27-20,0,0,0,,0,0,0
4,2015,4,2015-10-04,23-348,OAK,@,CHI,L 20-22,1,0,0,,0,0,0
5,2015,5,2015-10-11,23-355,OAK,,DEN,L 10-16,1,1,33,33.00,0,0,0
6,2015,6,2015-10-25,24-004,OAK,@,SDG,W 37-29,2,2,42,21.00,1,1,6
7,2015,7,2015-11-01,24-011,OAK,,NYJ,W 34-20,3,2,13,6.50,0,0,0
8,2015,8,2015-11-08,24-018,OAK,@,PIT,L 35-38,5,1,1,1.00,1,1,6
9,2015,9,2015-11-15,24-025,OAK,,MIN,L 14-30,3,2,18,9.00,1,1,6
10,2015,10,2015-11-22,24-032,OAK,@,DET,L 13-18,3,2,25,12.50,0,0,0
11,2015,11,2015-11-29,24-039,OAK,@,TEN,W 24-21,2,1,14,14.00,0,0,0
,,,11 Games,,,,,5-6-0,24,13,151,11.62,3,,18
